1;;3.510023774s;3.2416 GiB;11118
2;;1.889636776s;3.2416 GiB;11118
3;;1.553798959s;3.2416 GiB;11118
4;;1.365158152s;3.2416 GiB;11118
5;;1.365471672s;3.2416 GiB;11118
6;;1.360985025s;3.2416 GiB;11118
7;;1.364858404s;3.2416 GiB;11118
8;;1.339654999s;3.2416 GiB;11118
9;;1.356438625s;3.2416 GiB;11118
10;;1.346961482s;3.2416 GiB;11118
11;;1.342012677s;3.2416 GiB;11118
12;;1.345147963s;3.2416 GiB;11118
13;;1.352654533s;3.2416 GiB;11118
14;;1.377080942s;3.2416 GiB;11118
15;;1.346843877s;3.2416 GiB;11118
16;;1.346534886s;3.2416 GiB;11118
17;;1.344180653s;3.2416 GiB;11118
18;;1.343212463s;3.2416 GiB;11118
19;;1.350155881s;3.2416 GiB;11118
20;;1.360115909s;3.2416 GiB;11118
21;;1.340147912s;3.2416 GiB;11118
22;;1.34605551s;3.2416 GiB;11118
23;;1.348858554s;3.2416 GiB;11118
24;;1.349249894s;3.2416 GiB;11118
25;;1.355140824s;3.2416 GiB;11118
26;;1.340798718s;3.2416 GiB;11118
27;;1.349272105s;3.2416 GiB;11118
28;;1.34429441s;3.2416 GiB;11118
29;;1.352796573s;3.2416 GiB;11118
30;;1.350543563s;3.2416 GiB;11118
31;;1.341567834s;3.2416 GiB;11118
32;;1.346673316s;3.2416 GiB;11118
33;;1.348730072s;3.2416 GiB;11118
34;;1.347984466s;3.2416 GiB;11118
35;;1.348138062s;3.2416 GiB;11118
36;;1.34948593s;3.2416 GiB;11118
37;;1.345234888s;3.2416 GiB;11118
38;;1.347183294s;3.2416 GiB;11118
39;;1.354752805s;3.2416 GiB;11118
40;;1.359355937s;3.2416 GiB;11118
41;;1.339763278s;3.2416 GiB;11118
42;;1.340122551s;3.2416 GiB;11118
43;;1.348282678s;3.2416 GiB;11118
44;;1.35403439s;3.2416 GiB;11118
45;;1.342775541s;3.2416 GiB;11118
46;;1.341200397s;3.2416 GiB;11118
47;;1.34877312s;3.2416 GiB;11118
48;;1.347694582s;3.2416 GiB;11118
49;;1.348243322s;3.2416 GiB;11118
50;;1.339271086s;3.2416 GiB;11118
51;;1.347328021s;3.2416 GiB;11118
52;;1.343222569s;3.2416 GiB;11118
53;;1.369882364s;3.2416 GiB;11118
54;;1.339441387s;3.2416 GiB;11118
55;;1.355787825s;3.2416 GiB;11118
56;;1.34989368s;3.2416 GiB;11118
57;;1.352862626s;3.2416 GiB;11118
58;;1.339261524s;3.2416 GiB;11118
59;;1.345803763s;3.2416 GiB;11118
60;;1.347814327s;3.2416 GiB;11118
61;;1.356070331s;3.2416 GiB;11118
62;;1.349234549s;3.2416 GiB;11118
63;;1.33925253s;3.2416 GiB;11118
64;;1.345409886s;3.2416 GiB;11118
65;;1.349401187s;3.2416 GiB;11118
66;;1.348719819s;3.2416 GiB;11118
67;;1.336422009s;3.2416 GiB;11118
68;;1.342261238s;3.2416 GiB;11118
69;;1.347358206s;3.2416 GiB;11118
70;;1.366623726s;3.2416 GiB;11118
71;;1.346157848s;3.2416 GiB;11118
72;;1.398374616s;3.2416 GiB;11118
73;;1.371762547s;3.2416 GiB;11118
74;;1.379719446s;3.2416 GiB;11118
75;;1.377881979s;3.2416 GiB;11118
76;;1.352277505s;3.2416 GiB;11118
77;;1.343668563s;3.2416 GiB;11118
78;;1.351304421s;3.2416 GiB;11118
79;;1.364725391s;3.2416 GiB;11118
80;;1.388089483s;3.2416 GiB;11118
81;;1.340073344s;3.2416 GiB;11118
82;;1.381830044s;3.2416 GiB;11118
83;;1.425123068s;3.2416 GiB;11118
84;;1.440671825s;3.2416 GiB;11118
85;;1.420940796s;3.2416 GiB;11118
86;;1.3757437s;3.2416 GiB;11118
87;;1.401295549s;3.2416 GiB;11118
88;;1.354163492s;3.2416 GiB;11118
89;;1.354122221s;3.2416 GiB;11118
90;;1.336173091s;3.2416 GiB;11118
91;;1.336269155s;3.2416 GiB;11118
92;;1.359153255s;3.2416 GiB;11118
93;;1.353910653s;3.2416 GiB;11118
94;;1.343059413s;3.2416 GiB;11118
95;;1.337332556s;3.2416 GiB;11118
96;;1.339769644s;3.2416 GiB;11118
97;;1.358234915s;3.2416 GiB;11118
98;;1.370798076s;3.2416 GiB;11118
99;;1.362354334s;3.2416 GiB;11118
100;;1.343350462s;3.2416 GiB;11118
101;;1.365621276s;3.2416 GiB;11118
102;;1.336027713s;3.2416 GiB;11118
103;;1.346081192s;3.2416 GiB;11118
104;;1.34855708s;3.2416 GiB;11118
105;;1.340500772s;3.2416 GiB;11118
106;;1.33642214s;3.2416 GiB;11118
107;;1.345828303s;3.2416 GiB;11118
108;;1.352117833s;3.2416 GiB;11118
109;;1.349587011s;3.2416 GiB;11118
110;;1.338848962s;3.2416 GiB;11118
111;;1.348822433s;3.2416 GiB;11118
112;;1.343247149s;3.2416 GiB;11118
113;;1.352859458s;3.2416 GiB;11118
114;;1.342575728s;3.2416 GiB;11118
115;;1.356585362s;3.2416 GiB;11118
116;;1.338098558s;3.2416 GiB;11118
117;;1.366724601s;3.2416 GiB;11118
118;;1.347996453s;3.2416 GiB;11118
119;;1.354416529s;3.2416 GiB;11118
120;;1.353206214s;3.2416 GiB;11118
121;;1.348050937s;3.2416 GiB;11118
122;;1.346685669s;3.2416 GiB;11118
123;;1.420180489s;3.2416 GiB;11118
124;;1.353201053s;3.2416 GiB;11118
125;;1.351045303s;3.2416 GiB;11118
126;;1.339188844s;3.2416 GiB;11118
127;;1.340607841s;3.2416 GiB;11118
128;;1.343142323s;3.2416 GiB;11118
129;;1.349471609s;3.2416 GiB;11118
130;;1.345690059s;3.2416 GiB;11118
131;;1.365394872s;3.2416 GiB;11118
132;;1.346243537s;3.2416 GiB;11118
133;;1.342584687s;3.2416 GiB;11118
134;;1.34835393s;3.2416 GiB;11118
135;;1.347730781s;3.2416 GiB;11118
136;;1.34701409s;3.2416 GiB;11118
137;;1.339243853s;3.2416 GiB;11118
138;;1.352039763s;3.2416 GiB;11118
139;;1.343237535s;3.2416 GiB;11118
140;;1.34659206s;3.2416 GiB;11118
141;;1.366053767s;3.2416 GiB;11118
142;;1.347687466s;3.2416 GiB;11118
143;;1.348583604s;3.2416 GiB;11118
144;;1.346532292s;3.2416 GiB;11118
145;;1.349512639s;3.2416 GiB;11118
146;;1.35095591s;3.2416 GiB;11118
147;;1.33803122s;3.2416 GiB;11118
148;;1.362578223s;3.2416 GiB;11118
149;;1.349833165s;3.2416 GiB;11118
150;;1.370646912s;3.2416 GiB;11118
151;;1.386493162s;3.2416 GiB;11118
152;;1.371168763s;3.2416 GiB;11118
153;;1.345940028s;3.2416 GiB;11118
154;;1.350392033s;3.2416 GiB;11118
155;;1.353863428s;3.2416 GiB;11118
156;;1.341283325s;3.2416 GiB;11118
157;;1.337190137s;3.2416 GiB;11118
158;;1.34238096s;3.2416 GiB;11118
159;;1.350609256s;3.2416 GiB;11118
160;;1.339805456s;3.2416 GiB;11118
161;;1.351274347s;3.2416 GiB;11118
162;;1.338722962s;3.2416 GiB;11118
163;;1.339323494s;3.2416 GiB;11118
164;;1.344054626s;3.2416 GiB;11118
165;;1.351775062s;3.2416 GiB;11118
166;;1.352931s;3.2416 GiB;11118
167;;1.353819916s;3.2416 GiB;11118
168;;1.35520773s;3.2416 GiB;11118
169;;1.337721744s;3.2416 GiB;11118
170;;1.358926805s;3.2416 GiB;11118
171;;1.382769961s;3.2416 GiB;11118
172;;1.354276704s;3.2416 GiB;11118
173;;1.345511388s;3.2416 GiB;11118
174;;1.347078658s;3.2416 GiB;11118
175;;1.368483874s;3.2416 GiB;11118
176;;1.379860384s;3.2416 GiB;11118
177;;1.3431628s;3.2416 GiB;11118
178;;1.348101445s;3.2416 GiB;11118
179;;1.351133105s;3.2416 GiB;11118
180;;1.34000878s;3.2416 GiB;11118
181;;1.344398111s;3.2416 GiB;11118
182;;1.359811737s;3.2416 GiB;11118
183;;1.349949951s;3.2416 GiB;11118
184;;1.342186281s;3.2416 GiB;11118
185;;1.340693448s;3.2416 GiB;11118
186;;1.346785094s;3.2416 GiB;11118
187;;1.358216283s;3.2416 GiB;11118
188;;1.418421182s;3.2416 GiB;11118
189;;1.357830903s;3.2416 GiB;11118
190;;1.339573738s;3.2416 GiB;11118
191;;1.421733036s;3.2416 GiB;11118
192;;1.369604395s;3.2416 GiB;11118
193;;1.333707765s;3.2416 GiB;11118
194;;1.347243313s;3.2416 GiB;11118
195;;1.350672744s;3.2416 GiB;11118
196;;1.39336116s;3.2416 GiB;11118
197;;1.355241429s;3.2416 GiB;11118
198;;1.341036741s;3.2416 GiB;11118
199;;1.340332355s;3.2416 GiB;11118
200;;1.354094318s;3.2416 GiB;11118
